		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
16-11-01	10:30	9.8	9.8	9.4	99	9.6	1.3	SW	2.41	3.6	WSW	9.6	10.1	9.9	9.4	1017.5	0.00	0.0	40	1.72	56	0.0	0.00	0.0	0.178	0.000	20.9	48	9.5	19.9	8.86	1.1921	0.00	702	1	100.0	30
16-11-01	11:00	9.9	9.9	9.8	99	9.8	1.8	WSW	3.22	5.8	WSW	9.3	10.3	9.7	9.1	1017.2	0.00	0.0	34	1.46	51	0.0	0.00	0.0	0.175	0.000	20.9	48	9.5	19.9	8.86	1.1917	0.03	701	1	100.0	30
16-11-01	11:30	10.1	10.1	9.9	98	9.8	1.8	WSW	3.22	4.0	WSW	9.4	10.4	9.8	9.3	1016.6	0.00	0.0	40	1.72	54	0.0	0.00	0.0	0.172	0.000	20.9	48	9.5	19.9	8.86	1.1910	0.00	699	1	100.0	30
16-11-01	12:00	10.2	10.2	10.1	96	9.6	1.8	WSW	3.22	4.5	WSW	9.6	10.5	9.9	9.8	1016.2	0.00	0.0	60	2.58	88	0.0	0.00	0.0	0.169	0.000	20.9	48	9.5	19.9	8.86	1.1905	0.03	703	1	100.0	30
16-11-01	12:30	10.5	10.5	10.2	95	9.7	1.3	SW	2.41	4.5	WSW	10.4	10.7	10.6	11.2	1015.4	0.00	0.0	92	3.96	135	0.1	0.02	0.6	0.163	0.000	20.9	48	9.5	19.9	8.86	1.1894	0.00	700	1	100.0	30
16-11-01	13:00	10.7	10.7	10.5	93	9.6	2.2	SW	4.02	5.4	WNW	9.9	10.9	10.1	11.0	1014.8	0.00	0.0	109	4.69	141	0.2	0.03	0.5	0.159	0.000	20.9	48	9.5	19.9	8.86	1.1889	0.05	702	1	100.0	30
16-11-01	13:30	10.7	10.8	10.7	93	9.6	1.8	SW	3.22	4.5	WSW	10.2	10.9	10.4	10.9	1014.4	0.00	0.0	84	3.61	142	0.0	0.00	0.0	0.159	0.000	20.8	48	9.4	19.8	8.86	1.1889	0.00	702	1	100.0	30
16-11-01	14:00	10.7	10.7	10.6	93	9.6	1.8	WSW	3.22	4.9	WSW	10.1	10.8	10.3	9.9	1014.0	0.00	0.0	44	1.89	60	0.0	0.00	0.0	0.160	0.000	20.7	48	9.3	19.8	8.86	1.1888	0.03	702	1	100.0	30
16-11-01	14:30	10.7	10.7	10.7	93	9.6	1.8	SW	3.22	4.0	SSW	10.2	10.9	10.4	9.9	1013.5	0.00	0.0	33	1.42	42	0.0	0.00	0.0	0.159	0.000	20.7	49	9.6	19.8	9.06	1.1879	0.00	700	1	100.0	30
16-11-01	15:00	10.4	10.7	10.4	96	9.8	1.3	SW	2.41	2.7	SW	10.3	10.7	10.6	9.8	1013.2	0.80	2.8	18	0.77	23	0.0	0.00	0.0	0.164	0.000	20.7	49	9.6	19.8	9.07	1.1878	0.03	699	1	100.0	30
16-11-01	15:30	10.2	10.4	10.2	96	9.6	1.3	SW	2.41	3.1	W	10.1	10.5	10.3	9.3	1012.4	0.80	2.2	8	0.34	14	0.0	0.00	0.0	0.169	0.000	20.7	49	9.6	19.8	9.07	1.1868	0.00	700	1	100.0	30
16-11-01	16:00	10.2	10.2	10.2	97	9.8	0.9	SW	1.61	3.1	W	10.2	10.5	10.5	9.4	1012.3	0.60	3.8	6	0.26	9	0.0	0.00	0.0	0.169	0.000	20.8	49	9.7	19.9	9.06	1.1862	0.00	702	1	100.0	30
16-11-01	16:30	10.2	10.2	10.2	97	9.8	1.8	SW	3.22	4.5	W	9.6	10.5	9.9	8.4	1012.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.169	0.000	20.9	49	9.8	20.0	9.06	1.1850	0.00	698	1	100.0	30
16-11-01	17:00	10.1	10.2	10.1	97	9.7	1.8	SW	3.22	4.0	WSW	9.5	10.4	9.8	8.4	1011.3	0.40	0.0	0	0.00	0	0.0	0.00	0.0	0.171	0.000	20.9	49	9.8	20.0	9.06	1.1842	0.00	701	1	100.0	30
16-11-01	17:30	10.0	10.1	10.0	97	9.5	1.8	SW	3.22	4.5	SW	9.4	10.3	9.7	8.3	1010.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.174	0.000	20.9	49	9.8	19.9	9.06	1.1839	0.00	700	1	100.0	30
16-11-01	18:00	9.9	10.0	9.9	96	9.3	2.2	WSW	4.02	4.9	SW	8.9	10.2	9.2	7.7	1010.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.176	0.000	20.8	49	9.7	19.9	9.06	1.1842	0.00	702	1	100.0	30
16-11-01	18:30	9.8	9.9	9.8	96	9.2	2.2	WSW	4.02	5.8	WSW	8.7	10.1	9.0	7.6	1010.5	0.20	0.0	0	0.00	0	0.0	0.00	0.0	0.178	0.000	20.8	49	9.7	19.9	9.06	1.1838	0.00	702	1	100.0	30
16-11-01	19:00	9.7	9.8	9.7	96	9.1	1.8	WSW	3.22	4.9	WSW	9.1	10.0	9.3	7.9	1010.2	0.20	0.0	0	0.00	0	0.0	0.00	0.0	0.179	0.000	20.8	48	9.4	19.9	8.86	1.1837	0.00	702	1	100.0	30
16-11-01	19:30	9.7	9.7	9.7	96	9.1	1.8	W	3.22	5.4	W	9.0	9.9	9.3	7.8	1010.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.181	0.000	20.9	48	9.5	19.9	8.86	1.1833	0.00	702	1	100.0	30
16-11-01	20:00	9.6	9.7	9.6	96	9.0	1.8	WSW	3.22	4.9	SW	8.9	9.9	9.2	7.8	1009.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.182	0.000	20.9	48	9.5	19.9	8.86	1.1828	0.00	703	1	100.0	30
16-11-01	20:30	9.4	9.6	9.4	97	9.0	1.3	WSW	2.41	4.5	SW	9.2	9.7	9.4	8.0	1009.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.185	0.000	20.9	48	9.5	19.9	8.86	1.1826	0.00	700	1	100.0	30
16-11-01	21:00	9.4	9.5	9.4	97	9.0	1.3	WSW	2.41	4.5	W	9.2	9.7	9.4	8.0	1009.2	0.20	0.0	0	0.00	0	0.0	0.00	0.0	0.185	0.000	20.9	48	9.5	19.9	8.86	1.1822	0.00	702	1	100.0	30
16-11-01	21:30	9.4	9.4	9.4	97	8.9	1.3	WSW	2.41	3.6	WNW	9.1	9.7	9.4	7.9	1009.0	0.60	1.2	0	0.00	0	0.0	0.00	0.0	0.186	0.000	20.9	48	9.5	19.9	8.86	1.1821	0.00	701	1	100.0	30
16-11-01	22:00	9.4	9.4	9.4	97	8.9	1.8	W	3.22	4.9	WSW	8.7	9.7	8.9	7.5	1008.8	0.80	3.6	0	0.00	0	0.0	0.00	0.0	0.186	0.000	20.8	48	9.4	19.9	8.86	1.1821	0.00	703	1	100.0	30
16-11-01	22:30	9.3	9.4	9.2	97	8.8	1.3	W	2.41	4.5	W	9.0	9.6	9.3	7.8	1008.6	0.20	1.6	0	0.00	0	0.0	0.00	0.0	0.189	0.000	20.7	48	9.3	19.8	8.86	1.1824	0.00	700	1	100.0	30
16-11-01	23:00	8.2	9.3	8.2	92	6.9	2.2	NW	4.02	7.6	WNW	6.8	8.3	6.9	5.4	1008.9	0.20	0.0	0	0.00	0	0.0	0.00	0.0	0.212	0.000	20.7	46	8.6	19.6	8.65	1.1835	0.00	702	1	100.0	30
16-11-01	23:30	7.5	8.1	7.5	94	6.6	2.2	WNW	4.02	5.4	NW	6.1	7.6	6.2	4.6	1008.7	0.40	1.0	0	0.00	0	0.0	0.00	0.0	0.226	0.000	20.6	45	8.3	19.6	8.47	1.1839	0.00	702	1	100.0	30
16-11-02	0:00	7.3	7.5	7.3	94	6.4	1.8	WNW	3.22	4.5	NNW	6.2	7.4	6.3	4.8	1008.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.230	0.000	20.6	44	7.9	19.4	8.35	1.1841	0.00	702	1	100.0	30
16-11-02	0:30	7.1	7.3	7.1	94	6.2	1.3	WNW	2.41	4.0	W	6.6	7.2	6.7	5.1	1008.2	0.20	0.0	0	0.00	0	0.0	0.00	0.0	0.234	0.000	20.6	43	7.6	19.4	8.25	1.1839	0.00	699	1	100.0	30
16-11-02	1:00	7.1	7.1	7.1	96	6.5	1.3	W	2.41	4.5	W	6.5	7.2	6.6	5.1	1008.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.235	0.000	20.6	43	7.6	19.4	8.25	1.1839	0.00	698	1	100.0	30
16-11-02	1:30	7.2	7.2	7.1	95	6.5	1.8	W	3.22	5.4	W	6.2	7.3	6.3	4.7	1008.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.231	0.000	20.6	43	7.5	19.4	8.25	1.1841	0.00	701	1	100.0	30
16-11-02	2:00	7.0	7.2	7.0	94	6.1	1.8	W	3.22	5.4	WNW	5.9	7.1	6.0	4.4	1008.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.236	0.000	20.6	42	7.2	19.3	8.07	1.1842	0.00	702	1	100.0	30
16-11-02	2:30	6.8	7.0	6.8	93	5.7	1.8	W	3.22	5.4	WNW	5.6	6.9	5.7	4.2	1007.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.241	0.000	20.5	42	7.1	19.3	8.07	1.1844	0.00	700	1	100.0	30
16-11-02	3:00	6.8	6.9	6.8	92	5.6	2.2	W	4.02	5.8	WSW	5.2	6.8	5.3	3.7	1007.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.241	0.000	20.5	41	6.8	19.2	7.95	1.1843	0.00	698	1	100.0	30
16-11-02	3:30	6.4	6.8	6.4	91	5.1	2.2	W	4.02	6.3	W	4.8	6.5	4.9	3.3	1007.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.248	0.000	20.4	41	6.7	19.2	7.95	1.1845	0.00	701	1	100.0	30
16-11-02	4:00	6.3	6.4	6.3	92	5.1	1.8	W	3.22	6.3	W	5.1	6.3	5.1	3.5	1007.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.251	0.000	20.4	40	6.3	19.1	7.78	1.1849	0.00	700	1	100.0	30
16-11-02	4:30	6.0	6.3	6.0	92	4.8	1.8	WSW	3.22	4.5	WSW	4.8	6.0	4.8	3.2	1007.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.257	0.000	20.4	39	6.0	19.0	7.68	1.1847	0.00	701	1	100.0	30
16-11-02	5:00	5.6	6.0	5.6	92	4.4	1.8	WSW	3.22	5.8	WSW	4.3	5.6	4.3	2.6	1006.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.265	0.000	20.4	39	6.0	19.0	7.68	1.1845	0.00	700	1	100.0	30
16-11-02	5:30	5.5	5.6	5.4	93	4.5	1.8	WSW	3.22	5.8	WSW	4.2	5.6	4.2	2.6	1006.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.267	0.000	20.5	39	6.1	19.1	7.67	1.1836	0.00	702	1	100.0	30
16-11-02	6:00	5.8	5.8	5.5	93	4.7	2.2	WSW	4.02	5.4	SW	4.1	5.8	4.1	2.5	1006.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.262	0.000	20.6	38	5.8	19.1	7.55	1.1831	0.00	700	1	100.0	30
16-11-02	6:30	5.8	5.9	5.8	92	4.6	2.7	WSW	4.83	8.0	WNW	3.7	5.8	3.7	2.1	1006.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.260	0.000	20.6	38	5.8	19.1	7.55	1.1832	0.00	701	1	100.0	30
16-11-02	7:00	5.9	5.9	5.8	92	4.7	2.2	WSW	4.02	5.4	WSW	4.2	5.9	4.2	2.6	1006.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.259	0.000	20.6	38	5.7	19.1	7.55	1.1834	0.00	701	1	100.0	30
16-11-02	7:30	6.0	6.0	5.8	90	4.5	2.7	WSW	4.83	5.4	W	3.9	6.0	3.9	2.4	1006.3	0.00	0.0	7	0.30	16	0.0	0.00	0.0	0.257	0.000	20.6	38	5.7	19.1	7.55	1.1833	0.00	699	1	100.0	30
16-11-02	8:00	6.1	6.1	6.0	91	4.7	2.7	W	4.83	6.7	W	4.0	6.1	4.0	3.3	1006.1	0.00	0.0	26	1.12	62	0.0	0.00	0.0	0.256	0.000	20.6	38	5.7	19.1	7.55	1.1831	0.03	702	1	100.0	30
16-11-02	8:30	6.4	6.4	6.1	89	4.7	2.7	WSW	4.83	8.0	SW	4.4	6.4	4.4	4.6	1005.9	0.00	0.0	62	2.67	120	0.0	0.00	0.0	0.249	0.000	20.6	38	5.8	19.1	7.55	1.1826	0.00	701	1	100.0	30
16-11-02	9:00	6.6	6.6	6.4	89	4.9	2.7	WSW	4.83	6.7	WSW	4.7	6.7	4.7	4.8	1005.8	0.00	0.0	59	2.54	95	0.0	0.00	0.0	0.244	0.000	20.6	37	5.4	19.1	7.35	1.1827	0.03	702	1	100.0	30
16-11-02	9:30	6.9	6.9	6.6	86	4.7	3.1	WSW	5.63	7.6	WNW	4.7	6.8	4.7	5.2	1005.5	0.00	0.0	86	3.70	114	0.0	0.00	0.0	0.238	0.000	20.7	37	5.5	19.2	7.35	1.1819	0.00	700	1	100.0	30
16-11-02	10:00	7.0	7.0	6.9	86	4.8	3.1	WSW	5.63	8.5	SSE	4.8	6.9	4.8	4.8	1005.5	0.00	0.0	64	2.75	98	0.0	0.00	0.0	0.236	0.000	20.7	37	5.5	19.2	7.35	1.1819	0.05	702	1	100.0	30
16-11-02	10:30	7.2	7.2	6.9	84	4.7	3.1	WSW	5.63	7.6	WNW	5.1	7.2	5.1	5.3	1005.4	0.00	0.0	79	3.40	128	0.0	0.00	0.0	0.231	0.000	20.8	37	5.5	19.2	7.35	1.1815	0.00	700	1	100.0	30
16-11-02	11:00	7.2	7.3	7.2	84	4.7	3.6	WSW	6.44	8.9	SW	4.8	7.2	4.7	4.8	1005.3	0.00	0.0	73	3.14	128	0.0	0.00	0.0	0.231	0.000	20.7	36	5.1	19.1	7.24	1.1819	0.05	701	1	100.0	30
16-11-02	11:30	7.1	7.2	7.0	85	4.7	3.1	W	5.63	7.6	NW	4.9	7.0	4.8	4.3	1005.1	0.00	0.0	43	1.85	67	0.0	0.00	0.0	0.235	0.000	20.9	37	5.6	19.3	7.35	1.1806	0.00	702	1	100.0	30
